AppTimestamp(s),GEOTECWIFI03,480Invitados,eduroam,wpen-uji,lt1iot,cuatroochenta,UJI,Latitude,Longitude,Label
30.0,-82.0,-94.0,-81.48666666666666,-94.0,-94.0,-94.0,-82.2,0.0,0.6,0.0
35.0,-79.0,-94.0,-80.53999999999999,-94.0,-94.0,-94.0,-80.9611111111111,0.0,0.6,0.0
40.0,-79.0,-94.0,-81.33333333333333,-94.0,-94.0,-94.0,-81.58333333333333,0.0,0.6,0.0
45.0,-79.0,-94.0,-81.33333333333331,-94.0,-94.0,-94.0,-81.58333333333331,0.0,0.6,0.0
50.0,-79.0,-94.0,-81.33333333333333,-94.0,-94.0,-94.0,-81.58333333333333,0.0,0.6,0.0
55.0,-79.0,-94.0,-81.33333333333331,-94.0,-94.0,-94.0,-81.58333333333331,0.0,0.6,0.0
60.0,-79.0,-94.0,-81.33333333333333,-94.0,-94.0,-94.0,-81.58333333333333,0.0,0.6,0.0
65.0,-79.0,-94.0,-81.33333333333331,-94.0,-94.0,-94.0,-81.58333333333331,0.0,0.6,0.0
70.0,-79.0,-94.0,-81.33333333333333,-94.0,-94.0,-94.0,-81.58333333333333,0.0,0.6,0.0
75.0,-79.0,-94.0,-81.33333333333331,-94.0,-94.0,-94.0,-81.58333333333331,0.0,0.6,0.0
80.0,-79.0,-94.0,-81.33333333333333,-94.0,-94.0,-94.0,-81.58333333333333,0.0,0.6,0.0
85.0,-79.0,-94.0,-81.33333333333331,-94.0,-94.0,-94.0,-81.58333333333331,0.0,0.6,0.0
90.0,-79.0,-94.0,-81.33333333333333,-94.0,-94.0,-94.0,-81.58333333333333,0.0,0.6,0.0
95.0,-79.0,-94.0,-81.33333333333331,-94.0,-94.0,-94.0,-81.58333333333331,0.0,0.6,0.0
100.0,-79.0,-94.0,-81.33333333333333,-94.0,-94.0,-94.0,-81.58333333333333,0.0,0.6,0.0
105.0,-79.0,-94.0,-81.33333333333331,-94.0,-94.0,-94.0,-81.58333333333331,0.0,0.6,0.0
110.0,-79.0,-94.0,-81.33333333333333,-94.0,-94.0,-94.0,-81.58333333333333,0.0,0.6,0.0
115.0,-79.0,-94.0,-81.33333333333331,-94.0,-94.0,-94.0,-81.58333333333331,0.0,0.6,0.0
120.0,-80.0,-94.0,-82.17777777777778,-94.0,-94.0,-94.0,-82.41111111111111,0.0,0.6,0.0
125.0,-83.0,-93.85,-83.59444444444445,-94.0,-94.0,-93.7,-84.31111111111112,0.0,0.6,0.0
130.0,-85.0,-93.31666666666666,-82.13333333333334,-94.0,-94.0,-92.8,-84.06666666666666,0.0,0.6,0.0
135.0,-88.0,-92.61666666666666,-81.91666666666667,-94.0,-94.0,-91.9,-84.35,0.0,0.6,0.0
140.0,-90.0,-92.15,-81.77222222222223,-94.0,-94.0,-91.3,-84.5388888888889,0.0,0.6,0.0
145.0,-93.0,-91.45,-81.55555555555557,-94.0,-94.0,-90.4,-84.82222222222224,0.0,0.6,0.0
150.0,-94.0,-90.98333333333333,-80.56666666666666,-94.0,-94.0,-89.8,-84.18333333333334,0.0,0.6,0.0
155.0,-94.0,-90.43333333333334,-78.93333333333334,-94.0,-94.0,-89.2,-82.56666666666666,0.0,0.6,0.0
160.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
165.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
170.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
175.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
180.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
185.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
190.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
195.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
200.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
205.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
