AppTimestamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
1.634,eduroam,04:18:d6:81:26:e8,-53.0,9.0,4.8,6.0
1.634,UJI,06:18:d6:81:26:e8,-59.0,9.0,4.8,6.0
1.634,eduroam,04:18:d6:82:26:e8,-60.0,9.0,4.8,6.0
1.634,UJI,06:18:d6:82:26:e8,-60.0,9.0,4.8,6.0
1.634,GEOTECWIFI03,f8:1a:67:37:05:b8,-63.0,9.0,4.8,6.0
1.634,eduroam,dc:9f:db:1b:63:ed,-74.0,9.0,4.8,6.0
1.634,UJI,de:9f:db:1b:63:ed,-74.0,9.0,4.8,6.0
1.634,UJI,de:9f:db:1c:63:ed,-74.0,9.0,4.8,6.0
1.634,eduroam,dc:9f:db:1c:63:ed,-75.0,9.0,4.8,6.0
1.634,eduroam,dc:9f:db:1b:91:6a,-80.0,9.0,4.8,6.0
1.634,UJI,de:9f:db:1b:91:6a,-82.0,9.0,4.8,6.0
1.634,MOVISTAR_E95D,cc:d4:a1:8a:e9:5f,-84.0,9.0,4.8,6.0
1.634,wpen-uji,4c:5e:0c:d6:e1:a4,-86.0,9.0,4.8,6.0
1.634,MOVISTAR_PLUS_E95D,cc:d4:a1:8a:e9:5e,-86.0,9.0,4.8,6.0
1.634,guifi.net/UJInuvolguifi4-AP,00:15:6d:d8:17:96,-86.0,9.0,4.8,6.0
1.634,eduroam,dc:9f:db:1c:91:6a,-88.0,9.0,4.8,6.0
3.638,eduroam,04:18:d6:81:26:e8,-53.0,9.0,4.8,6.0
3.638,UJI,06:18:d6:81:26:e8,-59.0,9.0,4.8,6.0
3.638,eduroam,04:18:d6:82:26:e8,-60.0,9.0,4.8,6.0
3.638,UJI,06:18:d6:82:26:e8,-60.0,9.0,4.8,6.0
3.638,GEOTECWIFI03,f8:1a:67:37:05:b8,-63.0,9.0,4.8,6.0
3.638,eduroam,dc:9f:db:1b:63:ed,-74.0,9.0,4.8,6.0
3.638,UJI,de:9f:db:1b:63:ed,-74.0,9.0,4.8,6.0
